"date","volume_product_1","volume_product_2","volume_product_3","volume_product_4","volume_product_5","volume_product_6","volume_product_7","volume_product_8","price_product_1","price_product_2","price_product_3","price_product_4","price_product_5","price_product_6","price_product_7","price_product_8"
"2011-01",8459.93809849285,1982.4084301582,6298.94381456837,8882.9707191894,1746.36849770355,1064.53030578072,1786.64229174028,2665.40064921618,104.919793582844,171.721874661895,203.844258677534,49.1867818152736,72.0181008574427,150.266548748226,128.272081941149,84.4190911975666
"2011-02",8707.25710284959,2005.74191267168,6690.55200071096,8415.26320602688,1824.688896573,1268.29286015791,1598.55862570473,2541.34551538646,114.236256348359,177.547579874343,194.55031146753,68.0131389256678,74.1364500790776,149.319256964875,162.431605706574,81.8169593088762
"2011-03",8136.94297328577,1889.26089478942,6061.22327623943,7885.53494705329,1722.16254075075,1197.43283686627,1594.13972905322,2473.83967570394,106.69336752871,178.681159478138,192.849006027277,100.49304981929,94.2869421484174,158.032502756058,185.2603106575,96.705637561615
"2011-04",8219.76255230074,2031.87284442623,5825.68576680979,8201.01290870827,1762.05380592095,1143.17761619416,1766.226434666,2857.49842893046,99.5754100262227,154.787337651998,207.624291517932,96.3972697249283,81.1863326301955,155.444217601427,161.85476328864,103.979218563798
"2011-05",8156.96217899971,1918.57021963314,5697.51291108503,7945.96188389026,1740.11400026211,1172.33041805864,1870.83901197434,2872.55749765612,101.667362197839,218.903866473286,240.131937779316,105.474945146013,81.1111736687026,164.582773351004,186.409897742407,102.855198587923
"2011-06",8282.83660342313,1866.69235790134,5701.34559408504,7861.57683662922,1777.7322074194,1154.12369964065,1836.03570800784,2826.60140497484,102.30261153348,205.590327882345,245.956147622487,107.284553725973,75.3811890216812,152.325451360843,171.466877868502,106.332795666668
"2011-07",8181.27448369847,1778.16961613861,5513.50791027769,7669.34078946443,1708.73883914645,1069.55332045011,1816.58501477691,2599.31183223719,90.7309005927506,262.897308689381,245.791292869299,104.162018761145,84.0033618008217,161.804035368348,183.307430031933,135.096600989969
"2011-08",7986.66937714178,1787.7901625966,5551.8915706038,7730.76872959818,1731.33989587092,1132.31862575344,1861.02157505973,2667.19053564204,107.122368058698,239.176317400863,204.922011708023,117.52554665279,74.5475313480797,162.512943117107,176.259432733138,124.696259961883
"2011-09",8279.28645098817,1848.4352695397,5512.27453473694,7862.61903776942,1759.56311151327,1149.22639293152,1734.62213254917,2590.08134672976,129.643878579891,304.381604113243,242.810964623374,113.478843413088,79.3712827615608,159.950560472176,175.639866223228,130.314485817076
"2011-10",8418.73585578369,1901.0203005677,5532.98467939314,8122.46022449551,1726.86458118908,1161.93164343688,1698.07463266871,2428.37451599772,108.994281314529,244.813051292721,226.484311448692,99.9610464301755,82.8722524738618,151.950327514995,183.280828238815,144.724449524983
"2011-11",7988.10838073084,1991.25691898877,5497.6967687704,8345.58591923987,1699.7282917535,1111.32213970828,1681.18629360464,2507.11131000367,141.947746406158,252.221670674805,219.062447357393,86.0009471068416,96.3204997252453,155.02601926958,178.055389649809,138.168767732558
"2011-12",8196.10427221125,2083.55231141738,5856.25160698653,8591.55490555042,1761.41482977139,1055.09467186702,1769.81993318048,2734.19745606347,114.863593325727,217.297361928543,205.707347724541,82.3377311165149,98.9529058034113,155.273480746188,186.340034447351,138.510333297357
"2012-01",8723.1464822175,1920.47660683499,6003.82550577509,8880.21228890114,1681.71494086459,984.194637899641,1725.42219099978,2625.75448918495,178.797030644086,223.995290220581,243.694577325757,85.5234521299749,94.6661214121815,140.248117122242,193.042074083125,155.380940068455
"2012-02",8346.73467698241,1886.76580988216,6043.33131453015,8126.71598779543,1741.88666499258,1052.50412018574,1525.48123786051,2461.43786795769,213.54758068902,280.273978992718,210.934329270234,102.203797623263,104.136290744867,136.217096868126,202.802648164982,151.680186163156
"2012-03",7853.73257044075,1820.39357218465,6223.89485974614,7789.08897038506,1678.93362607538,1226.18543892539,1578.42884674681,2424.17698794871,158.722473435696,275.857364133334,211.109823352137,106.256639487222,118.916972407114,138.545027109402,205.812479833261,153.369717593196
"2012-04",8301.86029438617,1999.00052239664,5774.12763443845,8276.29140735248,1758.70978788273,1165.0253991515,1719.38099549045,2867.67851579243,145.404994836747,288.34312887778,195.493811525363,95.520217801679,100.102419363148,139.050415139081,211.225340146505,154.171208144614
"2012-05",8435.23722733099,2031.08922689974,5956.07829768947,8119.88900972355,1806.58973493358,1231.56464165684,1823.97005601205,2780.65061518748,145.38841656227,286.752516796267,179.117032853537,112.365952616564,105.389040234925,143.677886933544,236.795843547176,170.856878319119
"2012-06",8610.79715968268,1920.14092960568,6113.78001907644,7620.16946849411,1779.35914337008,1167.02146662992,1869.37270437874,2960.40229948688,124.407479874748,278.957015262439,166.819504431756,137.480028632471,99.7228996511173,145.602651549496,227.724833622776,151.387049328451
"2012-07",8640.20472893963,1900.79605242555,5981.21762904557,7840.16647385111,1776.51880752808,1268.94308016254,1904.70760068818,2834.27584251146,137.342829247003,299.609271229228,189.178327936664,127.854601519206,97.100867231905,149.146959020882,233.37019092082,171.321291100481
"2012-08",8369.10975368968,1841.46898247086,6166.1684181767,7699.34077222278,1749.17896422856,1229.85758152449,1840.03982604964,2851.75667261398,143.01817544682,304.289849970066,164.923510244392,127.981423567985,96.7524885231039,156.152894077778,248.909399971289,185.019026987592
"2012-09",8610.72467709245,1989.18225301579,6535.49367680954,8087.8909315593,1821.77112176103,1272.29132238441,1705.76611098514,2608.59681616051,187.774618408132,288.064265812049,193.198348934066,133.070760888897,105.947795946253,169.2140611402,262.140970645044,177.409255911018
